,condition
LC_C1,Tumor
LC_C2,Tumor
LC_C3,Tumor
LC_C4,Tumor
LC_C5,Tumor
LC_C6,Tumor
LC_C7,Tumor
LC_C8,Tumor
LC_C9,Tumor
LC_C10,Tumor
LC_C11,Tumor
LC_C12,Tumor
LC_C13,Tumor
LC_C14,Tumor
LC_C15,Tumor
LC_C16,Tumor
LC_C17,Tumor
LC_C18,Tumor
LC_C19,Tumor
LC_C20,Tumor
LC_C21,Tumor
LC_C22,Tumor
LC_C23,Tumor
LC_C24,Tumor
LC_C25,Tumor
LC_C26,Tumor
LC_C27,Tumor
LC_C28,Tumor
LC_C29,Tumor
LC_C30,Tumor
LC_C31,Tumor
LC_C32,Tumor
LC_C33,Tumor
LC_C34,Tumor
LC_C35,Tumor
LC_C36,Tumor
LC_S6,Tumor
LC_S8,Tumor
LC_S9,Tumor
LC_S10,Tumor
LC_S11,Tumor
LC_S12,Tumor
LC_S13,Tumor
LC_S14,Tumor
LC_S15,Tumor
LC_S16,Tumor
LC_S17,Tumor
LC_S18,Tumor
LC_S19,Tumor
LC_S20,Tumor
LC_S21,Tumor
LC_S22,Tumor
LC_S23,Tumor
LC_S24,Tumor
LC_S25,Tumor
LC_S26,Tumor
LC_S27,Tumor
LC_S28,Tumor
LC_S29,Tumor
LC_S30,Tumor
LC_S31,Tumor
LC_S32,Tumor
LC_S33,Tumor
LC_S34,Tumor
LC_S35,Tumor
LC_S36,Tumor
LC_S37,Tumor
LC_S38,Tumor
LC_S39,Tumor
LC_S40,Tumor
LC_S41,Tumor
LC_S42,Tumor
LC_S43,Tumor
LC_S44,Tumor
LC_S45,Tumor
LC_S46,Tumor
LC_S47,Tumor
LC_S48,Tumor
LC_S49,Tumor
LC_S1,Tumor
LC_S2,Tumor
LC_S3,Tumor
LC_S4,Tumor
LC_S5,Tumor
LC_S50,Tumor
LC_S51,Tumor
LC_S52,Tumor
LC_C1_nor,Normal
LC_C2_nor,Normal
LC_C3_nor,Normal
LC_C5_nor,Normal
LC_C7_nor,Normal
LC_C9_nor,Normal
LC_C10_nor,Normal
LC_C11_nor,Normal
LC_C12_nor,Normal
LC_C14_nor,Normal
LC_C16_nor,Normal
LC_C17_nor,Normal
LC_C18_nor,Normal
LC_C19_nor,Normal
LC_C20_nor,Normal
LC_C21_nor,Normal
LC_C22_nor,Normal
LC_C24_nor,Normal
LC_C25_nor,Normal
LC_C28_nor,Normal
LC_C29_nor,Normal
LC_C30_nor,Normal
LC_C31_nor,Normal
LC_C33_nor,Normal
LC_C34_nor,Normal
LC_C35_nor,Normal
LC_C36_nor,Normal
LC_S6_nor,Normal
LC_S8_nor,Normal
LC_S9_nor,Normal
LC_S10_nor,Normal
LC_S11_nor,Normal
LC_S13_nor,Normal
LC_S14_nor,Normal
LC_S15_nor,Normal
LC_S16_nor,Normal
LC_S17_nor,Normal
LC_S18_nor,Normal
LC_S19_nor,Normal
LC_S20_nor,Normal
LC_S21_nor,Normal
LC_S22_nor,Normal
LC_S23_nor,Normal
LC_S24_nor,Normal
LC_S25_nor,Normal
LC_S26_nor,Normal
LC_S27_nor,Normal
LC_S28_nor,Normal
LC_S29_nor,Normal
LC_S30_nor,Normal
LC_S31_nor,Normal
LC_S32_nor,Normal
LC_S33_nor,Normal
LC_S34_nor,Normal
LC_S35_nor,Normal
LC_S36_nor,Normal
LC_S37_nor,Normal
LC_S38_nor,Normal
LC_S39_nor,Normal
LC_S40_nor,Normal
LC_S41_nor,Normal
LC_S42_nor,Normal
LC_S43_nor,Normal
LC_S44_nor,Normal
LC_S45_nor,Normal
LC_S46_nor,Normal
LC_S47_nor,Normal
LC_S48_nor,Normal
LC_S49_nor,Normal
LC_S1_nor,Normal
LC_S2_nor,Normal
LC_S3_nor,Normal
LC_S4_nor,Normal
LC_S5_nor,Normal
LC_S50_nor,Normal
LC_S51_nor,Normal
LC_S52_nor,Normal
