,logFC,t,P.Value,adj.P.Val,B
hsa-mir-378a,-2.030999957,-7.661973275,7.97E-14,7.18E-13,20.72729326
hsa-mir-1247,-3.1519192,-7.106343891,3.61E-12,1.63E-11,17.00509521
hsa-mir-196b,3.588971095,6.44605244,2.46E-10,7.38E-10,12.89802192
hsa-mir-192,2.715561338,5.706492436,1.86E-08,4.19E-08,8.708457452
hsa-let-7d,-0.94749515,-4.290612985,2.10E-05,3.77E-05,1.978292167
hsa-mir-4433b,-0.832923805,-2.671892215,0.008547786,0.012821678,-3.154760989
hsa-mir-122,2.007750501,1.23700368,0.21860644,0.245932245,-5.159197798
hsa-mir-215,0.655696494,1.247938137,0.212574358,0.245932245,-6.199564464
hsa-mir-197,0.130662366,0.484210391,0.628423546,0.628423546,-6.9080454
