,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000122133.17,3184.217776,7.460309367,0.425892661,17.51687703,1.07E-68,1.06E-66
ENSG00000000460.17,371.3994819,1.742436637,0.099639214,17.48745865,1.79E-68,1.77E-66
ENSG00000286818.1,455.7683139,6.665128896,0.381575954,17.4673714,2.54E-68,2.52E-66
ENSG00000114854.8,637.8110931,-3.570917727,0.204544617,-17.4578915,3.00E-68,2.96E-66
ENSG00000107159.13,866.19315,5.629776882,0.322485042,17.45748221,3.02E-68,2.97E-66
ENSG00000087074.8,4820.917445,-1.875080622,0.107409628,-17.45728621,3.03E-68,2.98E-66
ENSG00000133561.15,1380.632917,-2.089842225,0.119724457,-17.45543286,3.13E-68,3.06E-66
ENSG00000167513.9,725.6392178,2.751358628,0.157791314,17.43669256,4.35E-68,4.24E-66
ENSG00000129195.16,288.4678648,3.205576775,0.184089901,17.41310499,6.56E-68,6.39E-66
ENSG00000241644.2,2338.358526,-3.509933488,0.20169336,-17.40232541,7.92E-68,7.69E-66
ENSG00000158435.8,3484.089334,1.12923904,0.064891267,17.40201863,7.96E-68,7.71E-66
ENSG00000112782.19,3429.985387,-3.629180466,0.208682037,-17.39095765,9.66E-68,9.32E-66
ENSG00000092051.17,76.08905196,-2.601129612,0.149589634,-17.38843492,1.01E-67,9.71E-66
ENSG00000079462.8,1150.523762,2.263078297,0.13020417,17.38099711,1.15E-67,1.10E-65
ENSG00000114654.7,291.1787002,-2.580836242,0.148489692,-17.38057505,1.16E-67,1.11E-65
ENSG00000104738.18,3937.691473,2.209116575,0.127108421,17.37978146,1.17E-67,1.12E-65
ENSG00000122694.16,2198.841358,-2.209049705,0.127276518,-17.35630223,1.77E-67,1.68E-65
ENSG00000239672.8,943.4367958,2.192015466,0.126320908,17.35275258,1.88E-67,1.78E-65
ENSG00000237649.8,1098.294362,2.736967946,0.157750526,17.34997671,1.97E-67,1.87E-65
ENSG00000159307.19,357.8151944,-3.572547099,0.205968416,-17.34512099,2.15E-67,2.02E-65
ENSG00000173706.14,4734.283601,-2.125357024,0.122534287,-17.34499848,2.15E-67,2.02E-65
ENSG00000188761.13,761.9571247,3.467361457,0.199919328,17.34380313,2.20E-67,2.06E-65
ENSG00000138346.15,392.559941,2.232154326,0.128763506,17.33530249,2.55E-67,2.38E-65
ENSG00000145147.20,1669.620465,-2.481667093,0.143263484,-17.32239799,3.19E-67,2.97E-65
ENSG00000234281.5,56.23782294,-3.557701699,0.205558871,-17.30745882,4.13E-67,3.84E-65
